date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:21	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Jul%202023%2017:51:20%20GMT	https://estudioese.com.uy/tiempo-implementacion-bim/	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/tiempo-implementacion-bim/index.html	(from https://estudioese.com.uy/10-cosas-que-tenes-que-saber-antes-de-implementar-bim-7?nid=36)
12:51:21	930454/930454	---M--	200	added ('OK')	image/png	etag:%22eaa86fcb9742b8213f31c87d95bbf15e%22	https://d19b5f4jac5gbr.cloudfront.net/images/251/1/10-cosas-antes-de-implementar-bim-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/251/1/10-cosas-antes-de-implementar-bim-web.png	(from https://estudioese.com.uy/10-cosas-que-tenes-que-saber-antes-de-implementar-bim-7?nid=36)
12:51:21	477050/477050	---M--	200	added ('OK')	image/png	etag:%22c605b3c622d28cec013576dcf2317547%22	https://d19b5f4jac5gbr.cloudfront.net/images/173/1/modular-construction-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/173/1/modular-construction-web.png	(from https://estudioese.com.uy/por-que-la-aplicacion-de-bim-favorece-la-prefabricacion-7?nid=5)
12:51:22	66779/66779	---M--	200	added ('OK')	image/png	etag:%22bdb066d7583ce9c6d314c2cfd85c25c1%22	https://d19b5f4jac5gbr.cloudfront.net/images/173/91/modular-construction-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/173/91/modular-construction-web_q90.png	(from https://estudioese.com.uy/por-que-la-aplicacion-de-bim-favorece-la-prefabricacion-7?nid=5)
12:51:22	54870/54870	---M--	200	added ('OK')	image/png	etag:%2213b63e1fd6f533201c3ddd36fc47f754%22	https://d19b5f4jac5gbr.cloudfront.net/images/284/1/revit-template-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/284/1/revit-template-web.png	(from https://estudioese.com.uy/8-pasos-para-crear-un-revit-template-de-alto-rendimiento-7?nid=35)
12:51:23	13571/13571	---M--	200	added ('OK')	image/png	etag:%220c83bf3ae65b4c1dc6f293e686b04470%22	https://d19b5f4jac5gbr.cloudfront.net/images/284/91/revit-template-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/284/91/revit-template-web_q90.png	(from https://estudioese.com.uy/8-pasos-para-crear-un-revit-template-de-alto-rendimiento-7?nid=35)
12:51:23	126859/126859	---M--	200	added ('OK')	image/png	etag:%22f4d295fb61813a9e0e9de85d0c8ca5ab%22	https://d19b5f4jac5gbr.cloudfront.net/images/272/1/que-es-bim-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/272/1/que-es-bim-web.png	(from https://estudioese.com.uy/que-es-bim-7-definciones-7?nid=50)
12:51:24	30410/30410	---M--	200	added ('OK')	image/png	etag:%22ad05cf53d0fa83d88460dfcb1d750d88%22	https://d19b5f4jac5gbr.cloudfront.net/images/272/91/que-es-bim-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/272/91/que-es-bim-web_q90.png	(from https://estudioese.com.uy/que-es-bim-7-definciones-7?nid=50)
12:51:25	390066/390066	---M--	200	added ('OK')	image/png	etag:%227987fdcefb9dad8893cd71eeec88664d%22	https://d19b5f4jac5gbr.cloudfront.net/images/250/1/334_bim-en-latam-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/250/1/334_bim-en-latam-web.png	(from https://estudioese.com.uy/como-esta-la-situacion-bim-en-latinoamerica-7?nid=34)
12:51:25	46489/46489	---M--	200	added ('OK')	image/png	etag:%227cba1157592258c3eb0bb2bd7326444a%22	https://d19b5f4jac5gbr.cloudfront.net/images/250/91/334_bim-en-latam-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/250/91/334_bim-en-latam-web_q90.png	(from https://estudioese.com.uy/como-esta-la-situacion-bim-en-latinoamerica-7?nid=34)
12:51:26	1053542/1053542	---M--	200	added ('OK')	image/png	etag:%227d55e5c01a42791a923039079e10c47b%22	https://d19b5f4jac5gbr.cloudfront.net/images/249/1/que%cc%81-le-importa-a-un-bim-manager-sebastian-sanabria-web-02.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/249/1/que%cc%81-le-importa-a-un-bim-manager-sebastian-sanabria-web-02.png	(from https://estudioese.com.uy/que-le-importa-a-un-bim-manager-7?nid=33)
12:51:26	149698/149698	---M--	200	added ('OK')	image/png	etag:%22df7127bdc7ac94d6d8005b5fb73b8948%22	https://d19b5f4jac5gbr.cloudfront.net/images/249/91/que%cc%81-le-importa-a-un-bim-manager-sebastian-sanabria-web-02_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/249/91/que%cc%81-le-importa-a-un-bim-manager-sebastian-sanabria-web-02_q90.png	(from https://estudioese.com.uy/que-le-importa-a-un-bim-manager-7?nid=33)
12:51:27	0/0	---M--	403	error ('Forbidden')	application/json	date:Fri,%2028%20Jul%202023%2017:51:27%20GMT	https://d19b5f4jac5gbr.cloudfront.net/images/295/7/2022-0416_que?-le-importa-a-un-bim-manager-sebastian-sanabria-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/295/7/2022-0416_que6930	(from https://estudioese.com.uy/que-le-importa-a-un-bim-manager-7?nid=33)
12:51:28	252014/252014	---M--	200	added ('OK')	image/png	etag:%2275bef058186fb232879d67263bc6190e%22	https://d19b5f4jac5gbr.cloudfront.net/images/248/1/tiempo-implementacion-bim-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/248/1/tiempo-implementacion-bim-web.png	(from https://estudioese.com.uy/cuanto-tiempo-lleva-una-implementacion-bim-7?nid=32)
12:51:28	38388/38388	---M--	200	added ('OK')	image/png	etag:%22f93278730ef73119bce430dc1dbb8976%22	https://d19b5f4jac5gbr.cloudfront.net/images/248/91/tiempo-implementacion-bim-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/248/91/tiempo-implementacion-bim-web_q90.png	(from https://estudioese.com.uy/cuanto-tiempo-lleva-una-implementacion-bim-7?nid=32)
12:51:29	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Jul%202023%2017:51:29%20GMT	https://estudioese.com.uy/contacto/	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/contacto/index.html	(from https://estudioese.com.uy/cuanto-tiempo-lleva-una-implementacion-bim-7?nid=32)
12:51:29	1281152/1281152	---M--	200	added ('OK')	image/png	etag:%221f55ced8a54b2dbf1bc0ba9246a96b1c%22	https://d19b5f4jac5gbr.cloudfront.net/images/247/1/implementar-bim-estudio-arquitectura.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/247/1/implementar-bim-estudio-arquitectura.png	(from https://estudioese.com.uy/como-implementar-bim-en-un-estudio-de-arquitectura-7?nid=31)
12:51:30	197989/197989	---M--	200	added ('OK')	image/png	etag:%22eff55069adb9c55922ede810ba265eea%22	https://d19b5f4jac5gbr.cloudfront.net/images/247/91/implementar-bim-estudio-arquitectura_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/247/91/implementar-bim-estudio-arquitectura_q90.png	(from https://estudioese.com.uy/como-implementar-bim-en-un-estudio-de-arquitectura-7?nid=31)
12:51:30	133112/133112	---M--	200	added ('OK')	image/png	etag:%22c599e6f4f8b688e8fd8f692bb64ab32b%22	https://d19b5f4jac5gbr.cloudfront.net/images/296/7/296_tiempo-implementacion-bim-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/296/7/296_tiempo-implementacion-bim-web.png	(from https://estudioese.com.uy/como-implementar-bim-en-un-estudio-de-arquitectura-7?nid=31)
12:51:31	216516/216516	---M--	200	added ('OK')	image/png	etag:%2280a1bb397983ffe8c5f10e330806d440%22	https://d19b5f4jac5gbr.cloudfront.net/images/285/1/uniformat-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/285/1/uniformat-web.png	(from https://estudioese.com.uy/que-es-uniformat-7?nid=30)
12:51:31	38083/38083	---M--	200	added ('OK')	image/png	etag:%222b59268e35864a222709f1a171a8ee27%22	https://d19b5f4jac5gbr.cloudfront.net/images/285/91/uniformat-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/285/91/uniformat-web_q90.png	(from https://estudioese.com.uy/que-es-uniformat-7?nid=30)
12:51:32	506482/506482	---M--	200	added ('OK')	image/png	etag:%2295f36a8d8c345b08a8a9faf80c1adc33%22	https://d19b5f4jac5gbr.cloudfront.net/images/243/1/bim-collab-rener-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/243/1/bim-collab-rener-web.png	(from https://estudioese.com.uy/14-alternativas-para-visualizar-modelos-bim-7?nid=28)
12:51:33	76892/76892	---M--	200	added ('OK')	image/png	etag:%2288a18445b37804e779c1875a615c7ca1%22	https://d19b5f4jac5gbr.cloudfront.net/images/243/91/bim-collab-rener-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/243/91/bim-collab-rener-web_q90.png	(from https://estudioese.com.uy/14-alternativas-para-visualizar-modelos-bim-7?nid=28)
12:51:33	590306/590306	---M--	200	added ('OK')	image/png	etag:%221d005353da54f84d43d986c429c345ad%22	https://d19b5f4jac5gbr.cloudfront.net/images/172/1/interiores-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/172/1/interiores-web.png	(from https://estudioese.com.uy/revit-para-diseno-de-interiores-7?nid=4)
12:51:34	103212/103212	---M--	200	added ('OK')	image/png	etag:%2263eb38c8a96ab68c74ae9f3e0c52d35b%22	https://d19b5f4jac5gbr.cloudfront.net/images/172/91/interiores-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/172/91/interiores-web_q90.png	(from https://estudioese.com.uy/revit-para-diseno-de-interiores-7?nid=4)
12:51:34	446326/446326	---M--	200	added ('OK')	image/png	etag:%2254c19525a10c6a279c7d071bd2ca3e7f%22	https://d19b5f4jac5gbr.cloudfront.net/images/286/1/651_bim-uruguay-normativa-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/286/1/651_bim-uruguay-normativa-web.png	(from https://estudioese.com.uy/bim-en-uruguay-7?nid=27)
12:51:35	110708/110708	---M--	200	added ('OK')	image/png	etag:%22c1f84e5974e5552c1ae24404e516b895%22	https://d19b5f4jac5gbr.cloudfront.net/images/286/91/651_bim-uruguay-normativa-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/286/91/651_bim-uruguay-normativa-web_q90.png	(from https://estudioese.com.uy/bim-en-uruguay-7?nid=27)
12:51:36	923586/923586	---M--	200	added ('OK')	image/png	etag:%2218c2ec110a6be3c2db76f6fecfc1a0c6%22	https://d19b5f4jac5gbr.cloudfront.net/images/141/1/utec-que-es-bim-web.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/141/1/utec-que-es-bim-web.png	(from https://estudioese.com.uy/que-es-bim-7?nid=2)
12:51:36	126683/126683	---M--	200	added ('OK')	image/png	etag:%223ef9b0e42899fe3269db8c647fa07108%22	https://d19b5f4jac5gbr.cloudfront.net/images/141/91/utec-que-es-bim-web_q90.png	C:/Mis%20lugares%20Web/PE/ese-pe/d19b5f4jac5gbr.cloudfront.net/images/141/91/utec-que-es-bim-web_q90.png	(from https://estudioese.com.uy/que-es-bim-7?nid=2)
